trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
1,21:15:00,21:15:00,24070,1,0,0,0.0000
1,21:25:00,21:25:00,41586,2,0,0,2.9926
2,21:15:00,21:15:00,24070,1,0,0,0.0000
2,21:25:00,21:25:00,41586,2,0,0,2.9926
3,21:15:00,21:15:00,24070,1,0,0,0.0000
3,21:25:00,21:25:00,41586,2,0,0,2.9926
4,15:56:00,15:56:00,10,1,0,0,0.0000
4,16:05:00,16:05:00,2,2,0,0,5.8930
4,16:16:00,16:16:00,39,3,0,0,16.4197
4,16:31:00,16:31:00,55,4,0,0,27.2917
4,16:44:00,16:44:00,9,5,0,0,40.2500
4,16:52:00,16:52:00,71,6,0,0,46.3129
4,17:19:00,17:19:00,28,7,0,0,53.5366
5,20:10:00,20:10:00,10,1,0,0,0.0000
5,20:19:00,20:19:00,2,2,0,0,5.8930
5,20:34:00,20:34:00,39,3,0,0,16.4197
5,20:45:00,20:45:00,55,4,0,0,27.2917
5,20:58:00,20:58:00,9,5,0,0,40.2500
5,21:05:00,21:05:00,71,6,0,0,46.3129
5,21:16:00,21:16:00,28,7,0,0,53.5366
5,21:46:00,21:46:00,1,8,0,0,67.6542
6,22:33:00,22:33:00,10,1,0,0,0.0000
6,22:42:00,22:42:00,2,2,0,0,5.8930
6,22:53:00,22:53:00,39,3,0,0,16.4197
6,23:04:00,23:04:00,55,4,0,0,27.2917
6,23:17:00,23:17:00,9,5,0,0,40.2500
6,23:29:00,23:29:00,71,6,0,0,46.3129
6,23:40:00,23:40:00,28,7,0,0,53.5366
6,24:10:00,24:10:00,1,8,0,0,67.6542
7,25:49:00,25:49:00,10,1,0,0,0.0000
7,25:58:00,25:58:00,2,2,0,0,5.8930
7,26:12:00,26:12:00,39,3,0,0,16.4197
7,26:23:00,26:23:00,55,4,0,0,27.2917
7,26:36:00,26:36:00,9,5,0,0,40.2500
7,26:44:00,26:44:00,71,6,0,0,46.3129
7,26:54:00,26:54:00,28,7,0,0,53.5366
7,27:24:00,27:24:00,1,8,0,0,67.6542
8,22:33:00,22:33:00,10,1,0,0,0.0000
8,22:42:00,22:42:00,2,2,0,0,5.8930
8,22:53:00,22:53:00,39,3,0,0,16.4197
8,23:04:00,23:04:00,55,4,0,0,27.2917
8,23:17:00,23:17:00,9,5,0,0,40.2500
8,23:29:00,23:29:00,71,6,0,0,46.3129
9,24:43:00,24:43:00,10,1,0,0,0.0000
9,24:52:00,24:52:00,2,2,0,0,5.8930
9,25:02:00,25:02:00,39,3,0,0,16.4197
9,25:13:00,25:13:00,55,4,0,0,27.2917
9,25:26:00,25:26:00,9,5,0,0,40.2500
9,25:37:00,25:37:00,71,6,0,0,46.3129
10,20:10:00,20:10:00,10,1,0,0,0.0000
10,20:19:00,20:19:00,2,2,0,0,5.8930
10,20:34:00,20:34:00,39,3,0,0,16.4197
10,20:45:00,20:45:00,55,4,0,0,27.2917
10,20:58:00,20:58:00,9,5,0,0,40.2500
10,21:05:00,21:05:00,71,6,0,0,46.3129
10,21:16:00,21:16:00,28,7,0,0,53.5366
11,04:35:00,04:35:00,10,1,0,0,0.0000
11,04:44:00,04:44:00,2,2,0,0,5.8930
11,04:54:00,04:54:00,39,3,0,0,16.4197
11,05:04:00,05:04:00,55,4,0,0,27.2917
11,05:17:00,05:17:00,9,5,0,0,40.2500
11,05:24:00,05:24:00,71,6,0,0,46.3129
11,05:34:00,05:34:00,28,7,0,0,53.5366
11,06:04:00,06:04:00,1,8,0,0,67.6542
